word,level,pos,ipa,definition,example,vietnamese
"apple",A1,noun,/ˈæpəl/ ,"A round fruit with red or green skin.","I ate an apple for breakfast.","quả táo"
"book",A1,noun,/bʊk/ ,"A set of pages with writing or pictures.","She read a book every night.","quyển sách"
"car",A1,noun,/kɑːr/ ,"A road vehicle with an engine, four wheels.","He bought a new car.","xe ô tô"
"house",A1,noun,/haʊs/ ,"A building where people live.","They live in a big house.","ngôi nhà"
"water",A1,noun,/ˈwɔːtər/ ,"A clear liquid that people drink.","Please give me a glass of water.","nước"
"eat",A1,verb,/iːt/ ,"To put food in your mouth and swallow it.","We eat dinner at 7 pm.","ăn"
"go",A1,verb,/ɡoʊ/ ,"To move from one place to another.","I go to school by bus.","đi"
"see",A1,verb,/siː/ ,"To use your eyes to look at something.","I can see the mountain.","nhìn, thấy"
"friend",A1,noun,/frɛnd/ ,"A person you like and spend time with.","My friend came to visit.","bạn"
"school",A1,noun,/skuːl/ ,"A place where children learn.","Children go to school.","trường học"
"teacher",A1,noun,/ˈtiːtʃər/ ,"A person who teaches students.","The teacher explained the lesson.","giáo viên"
"student",A1,noun,/ˈstjuːdənt/ ,"A person who studies at a school or college.","The students did their homework.","học sinh, sinh viên"
"dog",A1,noun,/dɔːɡ/ ,"A common animal kept as a pet.","Her dog is very friendly.","con chó"
"cat",A1,noun,/kæt/ ,"A small animal often kept as a pet.","The cat is sleeping.","con mèo"
"food",A1,noun,/fuːd/ ,"Something people eat to live.","Food was served at the party.","thức ăn"
"drink",A1,verb,/drɪŋk/ ,"To take liquid into your mouth and swallow.","He likes to drink tea.","uống"
"housewife",A2,noun,/ˈhaʊsˌwaɪf/ ,"A woman who manages the home and family.","The housewife cooked dinner.","nội trợ"
"market",A1,noun,/ˈmɑːrkɪt/ ,"A place where people buy and sell things.","We went to the market to buy vegetables.","chợ"
"shop",A1,noun,/ʃɒp/ ,"A building where goods are sold.","She opened a small shop.","cửa hàng"
"money",A1,noun,/ˈmʌni/ ,"Coins or notes used to buy things.","He saved his money for a bike.","tiền"
"time",A1,noun,/taɪm/ ,"The ongoing sequence of events; clock time.","What time is it?","thời gian"
"day",A1,noun,/deɪ/ ,"A 24-hour period or the time between sunrise and sunset.","Today is a sunny day.","ngày"
"night",A1,noun,/naɪt/ ,"The time when it is dark and most people sleep.","He reads at night.","đêm"
"morning",A1,noun,/ˈmɔːrnɪŋ/ ,"The early part of the day.","Good morning!","buổi sáng"
"evening",A1,noun,/ˈiːvnɪŋ/ ,"The later part of the day before night.","We went out in the evening.","buổi tối"
"work",A1,verb,/wɜːrk/ ,"To perform a job or task.","She works in a hospital.","làm việc"
"job",A1,noun,/dʒɒb/ ,"Regular paid work.","He got a new job.","công việc"
"family",A1,noun,/ˈfæmɪli/ ,"A group of people related by blood or marriage.","I love my family.","gia đình"
"mother",A1,noun,/ˈmʌðər/ ,"A female parent.","My mother is kind.","mẹ"
"father",A1,noun,/ˈfɑːðər/ ,"A male parent.","His father works abroad.","bố, cha"
"sister",A1,noun,/ˈsɪstər/ ,"A female sibling.","My sister is older than me.","chị, em gái"
"brother",A1,noun,/ˈbrʌðər/ ,"A male sibling.","Her brother is tall.","anh, em trai"
"son",A1,noun,/sʌn/ ,"A male child of his parents.","They have one son.","con trai"
"daughter",A1,noun,/ˈdɔːtər/ ,"A female child of her parents.","Their daughter is kind.","con gái"
"baby",A1,noun,/ˈbeɪbi/ ,"A very young child.","The baby is sleeping.","em bé"
"man",A1,noun,/mæn/ ,"An adult male human.","The man is a doctor.","người đàn ông"
"woman",A1,noun,/ˈwʊmən/ ,"An adult female human.","That woman is a teacher.","phụ nữ"
"people",A1,noun,/ˈpiːpəl/ ,"Human beings in general.","Many people came to the concert.","mọi người"
"child",A1,noun,/tʃaɪld/ ,"A young person.","The child is playing.","đứa trẻ"
"children",A1,noun,/ˈtʃɪldrən/ ,"Plural of child.","Children love games.","trẻ em"
