word,level,pos,ipa,definition,example,vietnamese
"the",A1,article,,"Definite article used before a noun.","The cat is sleeping.","(mạo từ xác định)"
"be",A1,verb,,"Exist; to have a particular quality.","I want to be happy.","là, thì, ở"
"and",A1,conj,,"Used to connect words or sentences.","Tom and Mary are friends.","và"
"of",A1,prep,,"Expressing relationship or part of something.","A piece of cake.","của"
"a",A1,article,,"Indefinite article used before a noun.","She has a cat.","một (mạo từ)",
"to",A1,prep,,"Expressing direction or purpose.","He goes to school.","đến, để"
"in",A1,prep,,"Inside something.","We live in a house.","trong"
"that",A1,pron,,"Used to identify a specific person or thing.","This is the book that I like.","đó, rằng"
"have",A1,verb,,"Possess or own.","I have two brothers.","có"
"I",A1,pron,,"First person singular pronoun.","I am a student.","tôi"
"it",A1,pron,,"Used to refer to a thing previously mentioned.","It is raining.","nó"
"for",A1,prep,,"Intended to belong to or be used in connection with.","This gift is for you.","cho"
"not",A1,adv,,"Used to make a word negative.","I do not like it.","không"
"on",A1,prep,,"Supported by a surface.","The book is on the table.","trên"
"with",A1,prep,,"Accompanied by.","I drink coffee with milk.","với"
"he",A1,pron,,"Third person singular male pronoun.","He is my friend.","anh ấy"
"as",A1,conj,,"Used in comparisons or role descriptions.","He works as a teacher.","như"
"you",A1,pron,,"Second person pronoun.","You are welcome.","bạn"
"do",A1,verb,,"Perform an action.","Do your homework.","làm"
"at",A1,prep,,"Indicating location or time.","Meet me at 3 pm.","tại"
"this",A1,pron,,"Refers to a specific thing near the speaker.","This is my bag.","này"
"but",A1,conj,,"Used to introduce a contrast.","I like tea but not coffee.","nhưng"
"his",A1,pron,,"Belonging to him.","This is his book.","của anh ấy"
"by",A1,prep,,"Indicates the means or agent.","Written by her.","bởi, bằng"
"from",A1,prep,,"Indicating the starting point.","I am from Vietnam.","từ"
"they",A1,pron,,"Third person plural pronoun.","They are students.","họ"
"we",A1,pron,,"First person plural pronoun.","We like music.","chúng tôi"
"say",A1,verb,,"To speak or express verbally.","What did you say?","nói"
"her",A1,pron,,"Belonging to her.","That is her bag.","của cô ấy"
"she",A1,pron,,"Third person female pronoun.","She is a doctor.","cô ấy"
"or",A1,conj,,"Used to link alternatives.","Tea or coffee?","hoặc"
"an",A1,article,,"Indefinite article used before a vowel sound.","An apple a day.","một (trước nguyên âm)"
"will",A1,aux,,"Used to express future tense.","I will go tomorrow.","sẽ"
"my",A1,pron,,"Belonging to me.","My name is Lin.","của tôi"
"one",A1,num,,"The number 1.","I have one sister.","một"
"all",A1,det,,"Every one of a group.","All students passed.","tất cả"
"would",A2,aux,,"Used to indicate the conditional mood.","I would like a coffee.","sẽ (giả định)"
"there",A1,adv,,"In or at that place.","There is a park nearby.","ở đó"
"their",A1,pron,,"Belonging to them.","Their house is big.","của họ"
"what",A1,pron,,"Asking for information.","What is your name?","cái gì"
"so",A1,conj,,"Therefore; to such a great extent.","I was tired, so I slept.","vì vậy"
"up",A1,adv,,"From a lower to a higher position.","Stand up, please.","lên"
"out",A1,adv,,"Away from the inside.","Let's go out.","ra ngoài"
"if",A1,conj,,"Introducing a condition.","If it rains, we'll stay home.","nếu"
"about",A1,prep,,"On the subject of.","We talk about school.","về"
"who",A1,pron,,"Asking about identity.","Who is at the door?","ai"
"get",A1,verb,,"To obtain or receive.","I get a gift.","nhận, lấy"
"which",A1,pron,,"Asking to specify one or more items.","Which color do you like?","cái nào"
"govern",B1,verb,,"To conduct the policy or affairs of.","The council governs the city.","thống trị, quản lý"
"me",A1,pron,,"First person object pronoun.","He saw me.","tôi (tân ngữ)"
"when",A1,adv,,"At what time.","When do we leave?","khi nào"
"make",A1,verb,,"To create or produce.","She makes cakes.","làm"
"can",A1,aux,,"Be able to.","I can swim.","có thể"
"like",A1,verb,,"To enjoy or prefer.","I like music.","thích"
"time",A1,noun,,"Measured or measurable period.","What time is it?","thời gian"
"no",A1,adv,,"Used to give a negative response.","No, thank you.","không"
"just",A1,adv,,"Exactly or recently.","I just arrived.","vừa mới"
"him",A1,pron,,"Third person male object pronoun.","I called him.","anh ấy (tân ngữ)"
"know",A1,verb,,"To have information in the mind.","I know the answer.","biết"
"take",A1,verb,,"To carry or move with oneself.","Take an umbrella.","cầm, lấy"
